"receita","despesa"
48942.4167304791,59233.269000232
48055.5753460642,71872.2719219756
47963.6065123108,52991.5255465225
49847.0567559111,63531.3658287961
75031.5522059024,71995.1865091769
43934.8889017727,53515.868889443
45203.1766073618,55043.5109238793
44694.1207448455,55476.6054121679
49982.9396460923,55090.6760012738
46142.2189146691,56424.9801221213
44616.3462432729,54746.3302420356
44971.9148080758,54083.7496547521
44830.3352711201,53091.6985270167
43540.708608687,58991.2660475019
41183.6947121208,72508.5340940834
40633.9333304315,63802.1045122163
75515.5758677453,70798.3959440492
41516.2950720829,54472.5533865113
42517.0739701061,58092.7723595143
43107.5234513037,58606.2686093968
45708.2563673013,58494.9425319987
42100.9962406127,60342.2395743281
42310.1281112897,58216.0685859381
40584.6620169823,58046.0832807641
41964.1068670295,64491.8070334
40702.2205191701,77560.4369851179
41427.0780421079,57913.04866928
41799.89422088,69555.3743107517
68296.4573418947,78322.842915044
39095.6305154272,58532.1074218004
41146.6542115909,60774.0460075581
41916.8216970709,60832.2695805308
44926.8007478782,62233.6684575911
42510.8312972228,68442.1443548362
42945.7188697606,61460.1036417334
42633.1115843291,62077.126656312
43500.1777195421,67748.2984023547
43177.6414052075,83523.3485155469
43091.1349283652,62794.0718731807
43565.7590875711,68542.202350757
69682.8051117063,83406.9525277917
40510.2594331723,61283.3658480071
42144.691645598,62550.890064799
41453.6471768771,69779.6181161479
46068.1894718939,63143.819326166
42569.540145905,63683.0394029456
41920.5241389375,61968.6986439291
42313.3031303472,62334.1237322429
43170.4421543064,68001.3755778471
41168.5849660055,84329.2184982915
43741.430176007,61791.3455189202
43689.53032282,68272.3884575812
73084.7344446415,85233.4173471148
44007.4268329937,62789.9105958822
42919.798279717,63384.1089195567
41976.7136004537,72388.1476707344
45582.1201946634,63803.1049539124
43705.0573038895,63642.1331202055
43774.7918736593,63800.6605094185
42923.8528500042,64406.0640747058
43939.1904982349,71424.6582639011
43420.1595964033,88095.7716789423
45197.5668902053,64687.2600094676
43158.8378499827,71198.7874228445
71226.241426581,87096.1660754479
43180.7992533946,63302.4773084504
42584.2593891314,66404.1922161559
41142.7219884272,65792.9415561357
29812.426865472,73435.5911283677
26857.9097322724,98118.9059406306
28492.860881648,100654.110435567
40159.2849162107,66070.9551523412
51931.5645630349,65190.3545179224
43145.1847382252,65407.2984446366
53163.7612341545,65512.3932265434
50521.4926757785,64922.0155719859
71467.8100161935,65723.2019156795
40827.882805865,63917.3635807861
43322.3070225364,66375.4461168827
42346.2103708823,66961.3996354924
43178.1523433062,66070.8764298709
40901.3999525299,74184.7391515151
41171.9966783921,107761.263507607
45103.1218313701,88443.3042839257
45016.5460133441,63770.1835228308
46302.1594973816,63740.2704065271
44418.9301436907,63075.3191013909
45830.4451112078,61826.4056663967
72387.103765213,63246.1202450592
