"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"140";202404;2;26;261110;"A";132600;1;622505;101;"Superior Incompleto";19;"44";3;"Feminino";0;1;97;0;0;0;"1450";7;0
"141";202404;2;29;291840;"A";132600;1;622515;101;"Fundamental Completo";35;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"142";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";24;"44";3;"Feminino";0;1;97;0;0;0;"1450";3;0
"143";202404;2;26;261110;"A";132600;1;621005;101;"6ª a 9ª Fundamental";18;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"144";202404;2;26;260875;"A";132600;1;622505;103;"Médio Completo";20;"20";3;"Masculino";0;1;97;0;0;0;"642";9;1
"145";202404;2;29;290720;"A";132600;1;621005;101;"Fundamental Completo";19;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"146";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";31;"48";1;"Masculino";2;3;97;0;0;0;"1450";5;0
"147";202404;2;26;261110;"A";133410;1;621005;101;"Médio Completo";23;"44";3;"Masculino";2;3;97;0;0;0;"1450";2;0
"148";202404;2;29;290720;"A";133410;1;643005;101;"5ª Completo Fundamental";50;"48";3;"Masculino";0;1;97;0;0;0;"1504.36";7;0
"149";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";48;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"150";202404;2;26;261110;"A";133410;1;621005;101;"Médio Incompleto";19;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"151";202404;2;29;293020;"A";133410;1;622020;101;"Médio Incompleto";32;"44";3;"Masculino";0;1;97;0;0;0;"1450";7;0
"152";202404;2;29;290720;"A";132600;1;621005;101;"Médio Completo";37;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"153";202404;2;26;260875;"A";132600;1;622505;103;"Médio Completo";19;"20";3;"Feminino";0;1;97;0;0;0;"642";9;1
"154";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";49;"48";1;"Masculino";0;1;97;0;0;0;"1450";8;0
"155";202404;2;29;290720;"A";133410;1;622505;101;"6ª a 9ª Fundamental";18;"48";2;"Masculino";0;1;97;0;0;0;"1450";7;0
"156";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";35;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"157";202404;2;26;261110;"A";132600;1;622020;101;"Médio Incompleto";28;"44";3;"Masculino";2;3;97;0;0;0;"1450";7;0
"158";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";24;"48";1;"Masculino";0;1;97;0;0;0;"1450";9;0
"159";202404;2;26;261110;"A";132600;1;780105;101;"Superior Completo";25;"40";3;"Masculino";0;1;97;0;0;0;"1800";5;0
"160";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";38;"48";1;"Feminino";2;3;97;0;0;0;"1450";6;0
