"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"78";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";30;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";6;0
"79";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";20;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"80";202304;2;29;290720;"A";132600;1;622515;101;"Médio Incompleto";24;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"81";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";18;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";5;0
"82";202304;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";25;"44,00";1;"Masculino";2;3;97;0;0;0;"1302,00";4;0
"83";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";19;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";7;0
"84";202304;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";33;"48,00";1;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"85";202304;2;29;291840;"A";132600;1;411005;101;"Fundamental Completo";18;"20,00";1;"Masculino";2;3;97;0;0;0;"551,00";7;0
"86";202304;2;29;291840;"A";132600;1;622515;101;"Médio Completo";23;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"87";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";26;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"88";202304;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";30;"44,00";1;"Feminino";0;1;97;0;0;0;"1302,00";7;0
"89";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";20;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"90";202304;2;26;261110;"A";132600;1;622515;103;"Médio Completo";22;"20,00";3;"Feminino";0;1;97;0;0;0;"651,00";9;1
"91";202304;2;29;290720;"A";132600;1;621005;101;"Até 5ª Incompleto";24;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"92";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";22;"48,00";6;"Feminino";2;3;97;0;0;0;"1302,00";6;0
"93";202304;2;29;291840;"A";132600;1;622515;101;"Médio Completo";46;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";2;0
